code	Q1_silent_break	Q1_filled_break	Q1_incomplete_sentence	Q1_incomplete_word	Q1_long_vowell	Q1_connecteur	Q1_non_understandable	Q1_MORT_EXPLICITE	Q1_ON_GENERIQUE	Q1_ON_QUELQU_UN	Q1_PRESENT_ENNONCIATION	Q1_PRESENT_GENERIQUE	Q1_PRESENT_HISTORIQUE	Q1_VERB_PERCEPTIONS_SENSORIELLES	Q1_CORPS	Q1_NOM_PERCEPTIONS_SENSORIELLES	Q1_SENSATIONS_PHYSIQUES	Q1_first_personal_pronoun_sing	Q1_first_personal_pronoun_plur	Q1_second_personal_pronoun	Q1_third_personal_pronoun	Q1_verb_indicatif_present	Q1_verb_indicatif_future	Q1_verb_participe_passe	Q1_verb_conditionel	Q1_verb_indicatif_imparfait	Q1_PE	Q1_LCC	Q1_LSC	Q1_degree_average	Q1_degree_std	Q1_L1	Q1_L2	Q1_L3	Q1_transitivity	Q1_average_clustering	Q1_diameter_g0	Q1_average_shrotest_path_g0	Q1_passive_count_norm	Q1_passive_percentages	Q1_labMT	Q1_textblob_polarity	Q2_silent_break	Q2_filled_break	Q2_incomplete_sentence	Q2_incomplete_word	Q2_long_vowell	Q2_connecteur	Q2_non_understandable	Q2_MORT_EXPLICITE	Q2_ON_GENERIQUE	Q2_ON_QUELQU_UN	Q2_PRESENT_ENNONCIATION	Q2_PRESENT_GENERIQUE	Q2_PRESENT_HISTORIQUE	Q2_VERB_PERCEPTIONS_SENSORIELLES	Q2_CORPS	Q2_NOM_PERCEPTIONS_SENSORIELLES	Q2_SENSATIONS_PHYSIQUES	Q2_first_personal_pronoun_sing	Q2_first_personal_pronoun_plur	Q2_second_personal_pronoun	Q2_third_personal_pronoun	Q2_verb_indicatif_present	Q2_verb_indicatif_future	Q2_verb_participe_passe	Q2_verb_conditionel	Q2_verb_indicatif_imparfait	Q2_PE	Q2_LCC	Q2_LSC	Q2_degree_average	Q2_degree_std	Q2_L1	Q2_L2	Q2_L3	Q2_transitivity	Q2_average_clustering	Q2_diameter_g0	Q2_average_shrotest_path_g0	Q2_passive_count_norm	Q2_passive_percentages	Q2_labMT	Q2_textblob_polarity	Q3_silent_break	Q3_filled_break	Q3_incomplete_sentence	Q3_incomplete_word	Q3_long_vowell	Q3_connecteur	Q3_non_understandable	Q3_MORT_EXPLICITE	Q3_ON_GENERIQUE	Q3_ON_QUELQU_UN	Q3_PRESENT_ENNONCIATION	Q3_PRESENT_GENERIQUE	Q3_PRESENT_HISTORIQUE	Q3_VERB_PERCEPTIONS_SENSORIELLES	Q3_CORPS	Q3_NOM_PERCEPTIONS_SENSORIELLES	Q3_SENSATIONS_PHYSIQUES	Q3_first_personal_pronoun_sing	Q3_first_personal_pronoun_plur	Q3_second_personal_pronoun	Q3_third_personal_pronoun	Q3_verb_indicatif_present	Q3_verb_indicatif_future	Q3_verb_participe_passe	Q3_verb_conditionel	Q3_verb_indicatif_imparfait	Q3_PE	Q3_LCC	Q3_LSC	Q3_degree_average	Q3_degree_std	Q3_L1	Q3_L2	Q3_L3	Q3_transitivity	Q3_average_clustering	Q3_diameter_g0	Q3_average_shrotest_path_g0	Q3_passive_count_norm	Q3_passive_percentages	Q3_labMT	Q3_textblob_polarity	PCL_REVIVISCENCES	PCL_DISSO	TOTAL_PCL_y	TOTAL_DES_y	PA_Q2	TYPE_TRAUMA	AGE	STATUT_MARITAL	ENFANTS	NB_ENF	source	VIOL_SEX	VIOL_PHY	VIOL_PSY	VIOL_ADM_ECO	VIOL_CYBER	VIOL_ANI	VIOL_MAT	NB_VICTIME	VIOL_EXTRA_CONJ	RECIDIVE	NB_PA	CONSO_PA	ATCD_MED	TRAITEMENT
P34	2.1739130434782608	2.608695652173913	0.6521739130434783	0.0	0.21739130434782608	6.086956521739131	0.0	1.0869565217391304	0.0	0.0	1.956521739130435	2.391304347826087	0.0	0.0	1.3043478260869563	0.0	0.217391304347826	0.0352941176470588	0.0	0.0	0.0	0.4042553191489361	0.0638297872340425	0.2978723404255319	0.0	0.1063829787234042	35.0	1.0	1.0	4.707692307692308	5.333175540072057	4.0	38.0	193.0	0.0421252371916508	0.0760974842327545	7.0	3.553687549563838	0.4892985123198243	0.09375	11.363376705807946	0.1661490683229813	0.7751937984496124	2.3255813953488373	0.2583979328165375	0.0	0.0	6.459948320413436	0.0	0.0	0.0	0.0	1.8087855297157625	0.7751937984496124	0.0	0.2583979328165375	0.2583979328165375	0.0	0.0	0.0224719101123595	0.0	0.0	0.0	0.38	0.0	0.28	0.02	0.08	28.0	1.0	1.0	4.514619883040936	5.409928845989473	5.0	33.0	122.0	0.0508967523024721	0.0724538554463599	7.0	3.5556931544547643	0.1678295944848994	0.0357142857142857	13.23501607109082	0.1538792817862585	0.2364998029168309	1.3795821836815136	0.2364998029168309	0.0	0.039416633819471816	7.370910524241229	0.0	0.0	0.1576665352778872	0.0394166338194718	2.1679148600709497	0.3941663381947182	0.6306661411115491	0.5912495072920773	0.5912495072920773	0.0	0.1182499014584154	0.0172413793103448	0.0034482758620689	0.0	0.0189655172413793	0.2604166666666667	0.0130208333333333	0.3385416666666667	0.0078125	0.1953125	317.0	1.0	2.0	9.105924596050269	18.28797912124295	16.0	506.0	10786.0	0.0763577846318895	0.1664631570282856	7.0	3.122121333453883	0.3827146880719605	0.0234375	2.0741713824438293	0.0430934004687612	15	5	33	280	1.0	2	69	1	1	3	france	0	1	1	0	0	0	0	1	0	0	1	0	1	1
P16	2.2941176470588234	2.411764705882353	0.7647058823529412	0.17647058823529413	0.4705882352941176	5.235294117647059	0.0	0.3529411764705882	0.411764705882353	0.0	3.294117647058824	0.8823529411764706	0.1176470588235294	0.2352941176470588	0.2352941176470588	0.0	0.2941176470588235	0.0518134715025906	0.0025906735751295	0.0	0.0259067357512953	0.3453815261044177	0.0080321285140562	0.2409638554216867	0.0040160642570281	0.1847389558232931	226.0	1.0	2.0	7.757990867579909	13.388500060235662	8.0	136.0	3827.0	0.0720443349753694	0.1374255740023275	6.0	3.216806160726414	0.2688756222264983	0.0161290322580645	3.0471273557962784	0.0209514066496163	3.6231884057971016	2.1739130434782608	1.4492753623188406	0.0	0.966183574879227	3.140096618357488	0.0	1.4492753623188406	0.2415458937198067	0.0	6.280193236714976	2.1739130434782608	0.0	0.2415458937198067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5538461538461539	0.0307692307692307	0.1538461538461538	0.0	0.0307692307692307	47.0	1.0	2.0	5.506666666666667	7.219184318343882	4.0	26.0	460.0	0.0932699341623994	0.1141448686753034	7.0	3.24089485458613	0.3319025030904178	0.0512820512820512	12.45062607235418	0.3022875816993465	2.598187311178248	2.2356495468277946	0.6042296072507553	0.12084592145015105	0.4833836858006042	6.3444108761329305	0.0	0.0	0.2416918429003021	0.1812688821752265	4.169184290030212	1.3293051359516617	0.0	0.785498489425982	0.6646525679758308	0.0	0.120845921450151	0.0213903743315508	0.0	0.0	0.0106951871657754	0.4380530973451327	0.0044247787610619	0.243362831858407	0.0	0.084070796460177	227.0	1.0	1.0	8.751322751322752	16.242265097547392	10.0	216.0	9469.0	0.0971212121212121	0.1501713055491751	6.0	3.0615131994442337	0.2698488579637644	0.0093457943925233	3.106786568478684	0.0421637594548702	11	8	53	490	0.0	2	35	1	1	2	france	0	1	1	0	0	0	0	1	1	0	1	1	0	0
P05	1.0849909584086799	3.074141048824593	0.0	0.9041591320072333	0.9041591320072333	5.967450271247739	0.0	0.3616636528028933	0.1808318264014466	0.1808318264014466	2.7124773960217	1.2658227848101269	0.3616636528028933	1.4466546112115732	0.5424954792043399	0.0	0.0	0.0404040404040404	0.0	0.0	0.0101010101010101	0.3709677419354839	0.0	0.2903225806451613	0.0	0.1290322580645161	70.0	1.0	1.0	5.385365853658537	6.04719491413711	7.0	51.0	337.0	0.0492277992277992	0.0719017595676634	8.0	3.512147297943568	0.0	0.0	9.436639310056837	0.123787604800263	0.7042253521126761	4.401408450704225	0.35211267605633806	0.0	0.0	7.922535211267606	0.0	0.176056338028169	0.176056338028169	0.0	1.056338028169014	0.176056338028169	0.0	1.232394366197183	0.352112676056338	0.0	0.176056338028169	0.0272727272727272	0.0	0.0	0.0	0.12	0.0	0.48	0.0	0.2666666666666666	71.0	1.0	1.0	5.299065420560748	6.575535162856567	9.0	65.0	336.0	0.0530973451327433	0.0825119323994983	7.0	3.522750208415603	0.1576759468918593	0.024390243902439	9.08866197183093	0.0728508984944147	1.0596026490066226	4.039735099337748	0.3973509933774834	0.3973509933774834	0.33112582781456956	7.880794701986756	0.0	0.2649006622516556	0.0662251655629139	0.0	1.1920529801324504	0.1324503311258278	0.0	0.3311258278145695	0.5960264900662252	0.0	0.2649006622516556	0.0184049079754601	0.0	0.0030674846625766	0.0061349693251533	0.1731601731601731	0.0043290043290043	0.4025974025974026	0.0	0.1774891774891775	214.0	1.0	2.0	8.26849315068493	13.814791325721888	13.0	261.0	4258.0	0.0803360462063533	0.1130959499389576	6.0	3.1824326358572934	0.6830727134920627	0.0675675675675675	3.3906415924926208	0.007312362030905	19	0	38	1230	2.0	2	36	0	1	5	france	1	1	1	1	1	0	0	1	0	0	2	1	0	1
P22	0.929368029739777	2.2304832713754648	0.37174721189591076	0.37174721189591076	0.18587360594795538	5.390334572490707	0.0	0.7434944237918215	0.5576208178438662	0.0	5.390334572490707	1.858736059479554	0.0	0.3717472118959107	0.3717472118959107	0.0	0.1858736059479553	0.008695652173913	0.0	0.0	0.017391304347826	0.4805194805194805	0.0259740259740259	0.1818181818181818	0.0	0.1168831168831168	46.0	1.0	1.0	4.972222222222222	6.2796826018714444	1.0	27.0	505.0	0.0499013250634338	0.0803705286990105	7.0	3.5083548664944013	0.1590366561893959	0.0181818181818181	9.621670543708438	-0.0254027261462205	0.3948667324777887	0.5923000987166831	0.09871668311944717	0.09871668311944717	0.0	5.62685093780849	0.0	0.4935834155972359	0.0	0.0987166831194471	4.047384007897334	0.8884501480750246	0.1974333662388943	0.9871668311944718	0.5923000987166831	0.0	0.0	0.0323886639676113	0.0	0.0	0.0121457489878542	0.3540372670807453	0.0062111801242236	0.3354037267080745	0.0124223602484472	0.1180124223602484	135.0	1.0	2.0	6.746666666666667	9.50206059523699	4.0	122.0	739.0	0.0545801526717557	0.1280972322759495	7.0	3.332619843924192	0.2889892980431416	0.0384615384615384	5.189238514855184	0.0369776242184929	0.8389261744966443	0.6711409395973155	0.16778523489932887	0.0	0.16778523489932887	6.0402684563758395	0.0	0.1677852348993288	0.6711409395973155	0.0	4.026845637583892	1.51006711409396	0.0	0.8389261744966443	0.0	0.0	0.1677852348993288	0.048	0.0	0.0	0.024	0.4285714285714285	0.0	0.2738095238095238	0.0	0.1428571428571428	74.0	1.0	2.0	5.50925925925926	7.716619114768739	7.0	87.0	838.0	0.0597014925373134	0.0847929266423418	8.0	3.51520241171404	0.3129772576966931	0.04	8.819122790433811	0.1349908480780963	12	6	35	460	0.0	2	25	0	0	0	france	0	1	1	0	1	1	0	1	1	0	2	1	0	0
P31	0.5747126436781609	2.2988505747126435	0.38314176245210724	0.0	0.19157088122605362	4.980842911877394	0.0	0.3831417624521072	0.1915708812260536	0.1915708812260536	2.490421455938697	0.9578544061302682	0.9578544061302682	0.9578544061302682	0.3831417624521072	0.0	0.3831417624521072	0.0165289256198347	0.0	0.0	0.0	0.2625	0.0	0.3	0.0	0.225	62.0	1.0	1.0	5.343589743589743	6.062063407352862	3.0	23.0	189.0	0.0517787953504755	0.0615321449430761	7.0	3.4660322495374043	0.1598039502667738	0.0256410256410256	9.85579079043634	0.0753762552275061	0.0	3.4482758620689653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4482758620689653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.0	3.0	1.0	11.0	3.5	4.0155946010522525	6.0	46.0	258.0	0.1304347826086956	0.1354166666666666	11.0	4.55	0.0	0.0	162.70557029177718	1.7758620689655171	0.0	1.0638297872340425	0.2127659574468085	0.0	0.0	8.72340425531915	0.0	0.0	0.0	0.2127659574468085	1.276595744680851	1.276595744680851	1.702127659574468	1.4893617021276595	0.2127659574468085	0.0	0.2127659574468085	0.0336134453781512	0.0	0.0	0.0168067226890756	0.3095238095238095	0.0	0.2857142857142857	0.0	0.1666666666666666	53.0	1.0	3.0	4.785714285714286	5.391319553746768	0.0	44.0	318.0	0.0444943820224719	0.0541946853929541	8.0	3.745735217163789	0.1625294076013961	0.0344827586206896	11.096328644695785	0.3662613981762918	6	0	18	420	0.0	2	35	0	1	4	france	0	0	0	0	0	0	1	1	1	0	1	0	0	0
P38	0.0	1.376936316695353	0.5163511187607573	0.0	0.34423407917383825	5.507745266781412	0.0	0.0	0.1721170395869191	0.0	3.2702237521514634	0.6884681583476765	0.0	0.5163511187607573	0.8605851979345954	0.0	0.0	0.0359712230215827	0.0071942446043165	0.0	0.014388489208633	0.3106796116504854	0.0	0.4077669902912621	0.0	0.0388349514563106	70.0	1.0	3.0	5.858585858585859	7.310584689698532	3.0	13.0	555.0	0.054029304029304	0.0937208916019943	7.0	3.433369225247398	0.1571153432714485	0.0333333333333333	9.026295833635048	0.1439524331090596	0.0	0.0	3.3333333333333335	0.0	0.0	1.1111111111111112	0.0	2.2222222222222223	0.0	0.0	6.666666666666667	3.333333333333333	0.0	0.0	0.0	0.0	0.0	0.0384615384615384	0.0	0.0	0.0384615384615384	0.5	0.0	0.1428571428571428	0.0	0.0	10.0	1.0	5.0	3.423076923076923	2.388644239265268	0.0	0.0	48.0	0.0675675675675675	0.0318223443223443	9.0	3.773755656108597	0.0	0.0	56.35185185185195	-5.444444444444445	0.2222222222222222	1.4814814814814816	0.2222222222222222	0.0	0.14814814814814814	3.9259259259259256	0.0	0.0	0.1481481481481481	0.0	5.481481481481482	1.2592592592592593	0.4444444444444444	1.037037037037037	0.0	0.0	0.1481481481481481	0.044378698224852	0.0029585798816568	0.0029585798816568	0.0207100591715976	0.3861003861003861	0.0	0.2548262548262548	0.0	0.054054054054054	198.0	1.0	1.0	7.35149863760218	12.10756251114029	16.0	132.0	1561.0	0.0485265855221012	0.1173909597913937	7.0	3.2538526823602982	0.1387374363316058	0.0123456790123456	3.920318449290127	0.0626262626262626	16	7	54	320	0.0	1	38	0	1	2	france	0	1	1	0	0	0	1	1	0	0	1	0	0	0
P11	0.0	6.691449814126393	0.0	1.1152416356877324	2.6022304832713754	4.089219330855019	0.0	0.0	0.3717472118959107	0.0	3.3457249070631967	1.486988847583643	0.0	0.3717472118959107	0.0	0.0	0.0	0.0188679245283018	0.0	0.0	0.0	0.375	0.0	0.1	0.0	0.1	20.0	1.0	4.0	4.5423728813559325	5.335592143518509	2.0	18.0	185.0	0.1006423982869379	0.1147886048981675	8.0	3.425756917282341	0.178740230219198	0.03125	19.21440408474029	-0.0591935945095796	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	3.1666666666666665	2.4776781245530843	3.0	7.0	21.0	0.1935483870967742	0.2305555555555556	5.0	2.4393939393939394	0.0	0.0	214.95	-0.0416666666666666	0.3387278885961611	3.7260067745577716	1.1667293940534438	0.11290929619872037	0.26345502446368085	6.17237485886338	0.0	0.0	0.2258185923974407	0.0376364320662401	2.5592773805043283	1.7689123071132855	0.2258185923974407	0.2258185923974407	0.1505457282649605	0.0	0.4140007527286413	0.032258064516129	0.0	0.0048387096774193	0.0241935483870967	0.3740648379052369	0.0	0.1620947630922693	0.0	0.1596009975062344	400.0	1.0	1.0	10.774847870182557	24.446406511089865	29.0	2241.0	52607.0	0.0943385835444432	0.1833275518816052	6.0	3.0191873216906613	0.2536476772604601	0.0121951219512195	1.9672286324783488	-0.007191980018476	5	0	9	360	0.0	2	43	1	1	2	france	0	1	1	0	0	0	0	1	0	0	1	0	0	0
P09	1.4511873350923483	5.936675461741425	0.6596306068601583	0.0	1.1873350923482848	8.047493403693931	0.0	0.0	0.0	0.0	1.978891820580475	1.1873350923482848	0.0	0.395778364116095	0.395778364116095	0.0	0.6596306068601583	0.0137931034482758	0.0	0.0	0.0	0.3404255319148936	0.0	0.2872340425531915	0.0	0.1595744680851064	82.0	1.0	4.0	6.554112554112554	9.854147080728511	15.0	203.0	2277.0	0.0930873987243578	0.1202234815255917	7.0	3.2600037643515902	0.1508140174759862	0.037037037037037	6.811700832149677	0.0255637974809578	2.314814814814815	5.555555555555555	0.4629629629629629	0.0	0.0	4.166666666666666	0.0	0.0	2.314814814814815	0.0	2.314814814814815	4.62962962962963	0.0	0.9259259259259258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4230769230769231	0.0	0.2692307692307692	0.0384615384615384	0.0	20.0	1.0	1.0	4.174757281553398	3.870293093605204	4.0	22.0	163.0	0.0880195599022004	0.111273462244336	8.0	3.705501618122977	0.1860368755170824	0.0357142857142857	24.21364046973801	0.4440235690235691	3.3333333333333335	4.444444444444445	0.0	0.0	1.1111111111111112	3.3333333333333335	0.0	0.0	0.0	0.0	5.555555555555555	2.2222222222222223	0.0	0.0	2.2222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.7142857142857143	0.0	0.1428571428571428	0.0	0.0	6.0	1.0	1.0	3.12280701754386	2.009365575346943	0.0	10.0	6.0	0.106060606060606	0.1136730715678084	11.0	4.587092731829574	0.0	0.0	55.43295019157089	-1.5252525252525255	4	4	27	270	1.0	1	46	1	1	2	france	0	1	1	0	0	0	0	1	0	0	2	1	0	1
P17	2.4390243902439024	2.2357723577235773	0.0	0.20325203252032523	0.0	7.113821138211382	0.0	0.6097560975609756	0.0	0.2032520325203252	0.4065040650406504	0.6097560975609756	0.0	0.6097560975609756	0.6097560975609756	0.0	0.2032520325203252	0.0253164556962025	0.0	0.0	0.0632911392405063	0.0909090909090909	0.0	0.4285714285714285	0.0	0.1948051948051948	66.0	1.0	1.0	5.676300578034682	6.340927172941116	5.0	39.0	218.0	0.0731414868105515	0.0936049841896403	7.0	3.48581798628848	0.0	0.0	10.503832240965592	0.0426173616574875	2.6881720430107525	8.064516129032258	0.5376344086021506	0.0	0.0	8.064516129032258	0.0	0.5376344086021506	0.0	0.0	0.0	1.0752688172043012	0.0	0.0	1.6129032258064515	0.0	1.0752688172043012	0.0	0.0	0.0	0.0	0.1666666666666666	0.0	0.2222222222222222	0.0	0.2222222222222222	17.0	1.0	3.0	3.814432989690722	3.7149180921087113	2.0	20.0	50.0	0.0909090909090909	0.1423350538651678	11.0	4.037800687285223	0.0	0.0	26.606222561557345	-0.0823252688172043	0.0	3.5175879396984926	0.5025125628140703	0.25125628140703515	0.0	6.78391959798995	0.0	0.7537688442211055	0.0	0.0	1.256281407035176	0.0	0.0	0.7537688442211055	0.5025125628140703	0.0	0.0	0.0125	0.0	0.0	0.0125	0.1612903225806451	0.0	0.3225806451612903	0.0	0.2096774193548387	39.0	1.0	4.0	4.783132530120482	5.943606857490801	5.0	25.0	233.0	0.0399408284023668	0.0639392735778278	9.0	3.52026286966046	0.334087703072627	0.0869565217391304	13.155301647904324	0.444614376228971	10	5	38	520	2.0	2	59	1	1	1	france	0	1	1	0	0	0	0	1	0	0	2	1	0	0
P26	0.06325110689437065	1.8975332068311195	0.3795066413662239	0.0	0.3795066413662239	5.502846299810247	0.0	0.8855154965211892	0.5060088551549652	0.0632511068943706	1.1385199240986716	1.7710309930423784	0.0	0.6957621758380772	0.3795066413662239	0.0	0.1897533206831119	0.0229508196721311	0.0032786885245901	0.0032786885245901	0.0459016393442622	0.2112676056338028	0.0046948356807511	0.3990610328638497	0.0	0.1455399061032863	162.0	1.0	2.0	6.945054945054945	12.741178924322364	9.0	101.0	2847.0	0.0543277625342978	0.1209093894160917	7.0	3.2179212857626958	0.9503363925619294	0.0933333333333333	3.340620770683868	0.077482605945604	0.12121212121212122	1.575757575757576	0.12121212121212122	0.0	0.0	4.96969696969697	0.0	0.0	0.2424242424242424	0.0	1.4545454545454546	1.090909090909091	0.1212121212121212	0.1212121212121212	0.0	0.0	0.6060606060606061	0.0176470588235294	0.0058823529411764	0.0	0.0352941176470588	0.217391304347826	0.008695652173913	0.4434782608695652	0.0	0.1391304347826087	81.0	1.0	1.0	5.6438356164383565	7.295372643009767	2.0	26.0	209.0	0.0447221803945189	0.0872773292288362	7.0	3.355128748293556	0.7445591282509109	0.1904761904761904	6.393788077887589	0.0725778331257783	0.04892367906066536	1.467710371819961	0.5870841487279843	0.0	0.09784735812133072	4.9412915851272015	0.0	0.0	0.2446183953033268	0.0	3.0332681017612524	1.6144814090019568	0.0978473581213307	0.3913894324853229	0.146771037181996	0.0	0.146771037181996	0.0513833992094861	0.0	0.0019762845849802	0.0177865612648221	0.3136645962732919	0.0124223602484472	0.2608695652173913	0.0124223602484472	0.1335403726708074	250.0	1.0	1.0	8.321792260692463	16.387812570966307	12.0	144.0	5319.0	0.0643375994465582	0.149571970120218	6.0	3.06246311151752	1.1806895932277384	0.0760869565217391	2.568916454672492	0.0391389432485323	7	0	9	220	2.0	2	48	0	1	3	france	0	1	0	0	0	0	0	1	0	0	1	0	0	0
P21	0.8298755186721992	4.149377593360995	0.0	0.4149377593360996	0.4149377593360996	3.319502074688797	0.0	2.0746887966804977	0.4149377593360996	0.8298755186721992	4.564315352697095	0.4149377593360996	0.8298755186721992	0.0	0.0	0.0	0.0	0.0161290322580645	0.0	0.0	0.0161290322580645	0.5294117647058824	0.0	0.2647058823529412	0.0	0.0	22.0	1.0	1.0	4.067796610169491	3.937496437575622	3.0	3.0	123.0	0.0694275274056029	0.0904214664807885	9.0	3.929306098797624	0.0	0.0	21.342620035565822	0.3665283540802213	0.0	9.090909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	2.5	1.7320508075688772	3.0	9.0	27.0	0.0	0.0	7.0	3.0	0.0	0.0	430.413223140496	13.030303030303031	0.2331002331002331	2.097902097902098	0.0	0.0	0.0	7.925407925407925	0.0	0.0	0.0	0.0	0.9324009324009324	1.1655011655011656	0.2331002331002331	0.2331002331002331	0.4662004662004662	0.0	0.2331002331002331	0.0266666666666666	0.0133333333333333	0.0	0.0133333333333333	0.2711864406779661	0.0	0.3898305084745763	0.0	0.1694915254237288	46.0	1.0	3.0	4.755555555555556	5.094247542541622	2.0	14.0	128.0	0.0364208633093525	0.08002674002029	7.0	3.477094972067039	0.329953677267693	0.0476190476190476	12.1003619496083	0.1974496092143151	2	3	9	1010	0.0	2	35	1	1	1	france	0	1	1	0	0	0	0	1	0	0	1	1	1	1
P32	2.197802197802198	2.197802197802198	0.3663003663003663	0.0	0.3663003663003663	3.6630036630036633	0.0	0.0	0.3663003663003663	0.0	1.831501831501832	3.6630036630036633	0.0	0.3663003663003663	0.0	0.0	0.0	0.0166666666666666	0.0	0.0	0.0166666666666666	0.3333333333333333	0.0256410256410256	0.2307692307692307	0.0256410256410256	0.1282051282051282	22.0	1.0	3.0	4.059701492537314	3.937499005505396	0.0	4.0	63.0	0.0538922155688622	0.0716017813032738	8.0	3.697564807541241	0.3565398085639281	0.0909090909090909	19.355311355311205	0.179080179080179	0.5050505050505051	4.545454545454546	1.5151515151515151	0.0	0.0	8.585858585858585	0.0	0.0	0.0	1.0101010101010102	2.0202020202020203	0.5050505050505051	1.0101010101010102	0.5050505050505051	1.0101010101010102	0.0	0.0	0.0285714285714285	0.0	0.0	0.0285714285714285	0.2580645161290322	0.0	0.2580645161290322	0.0	0.2258064516129032	16.0	1.0	1.0	3.581818181818182	2.8264395147567747	1.0	13.0	67.0	0.0482315112540192	0.0713924963924963	10.0	4.198165137614679	0.56729359213277	0.1666666666666666	26.824744621354466	1.14996114996115	0.0	2.2304832713754648	0.37174721189591076	0.0	0.12391573729863693	8.550185873605948	0.0	0.1239157372986369	0.2478314745972738	0.1239157372986369	2.2304832713754648	0.7434944237918215	2.6022304832713754	1.2391573729863694	0.8674101610904585	0.0	0.3717472118959107	0.043010752688172	0.0	0.0053763440860215	0.0053763440860215	0.3384615384615385	0.0076923076923076	0.2230769230769231	0.0076923076923076	0.1307692307692307	108.0	1.0	1.0	6.06015037593985	8.494367349550902	7.0	79.0	460.0	0.0617342130065975	0.1166922761529469	6.0	3.300439778692013	0.4482078185194684	0.0769230769230769	6.529691346272122	-0.0080860269254195	13	12	39	600	2.0	2	32	0	1	1	france	0	1	1	0	0	0	0	1	0	0	1	0	1	0
